"名字","适用性别","读音","出处或意象","音(1-5)","义(1-5)","形(1-5)","文(1-5)","俗(1-5)","合(1-5)","合计(初评)","民俗备注","注意点"
"其琛","男","qí chēn","《诗经·鲁颂·泮水》来献其琛，珍宝","5","5","4","5","4","4","27","无马年民俗冲突","琛非高频字，需教写；先与姓氏连读"
"聿修","男","yù xiū","《诗经·大雅·文王》聿修厥德，继承美德","4","5","4","5","4","4","26","无冲突","聿需教写；注意方言读音"
"清越","男/女","qīng yuè","《礼记·聘义》其声清越以长","5","5","5","5","4","4","28","无冲突","易被写成清月"
"景行","男","jǐng xíng","《诗经·小雅·车舝》景行行止","4","5","5","5","4","3","26","无冲突","第二个行读xíng，易误读"
"嘉树","男","jiā shù","《楚辞·九章·橘颂》后皇嘉树","4","5","5","5","4","4","27","木字旁贴合马年民俗","无明显短板"
"既明","男","jì míng","《诗经·大雅·烝民》既明且哲","4","5","5","5","4","4","27","无冲突","偏书面，适合文雅家庭"
"允文","男","yǔn wén","《诗经·鲁颂·泮水》允文允武","4","5","5","5","4","4","27","无冲突","方言中可能同音运文"
"承宇","男","chéng yǔ","《楚辞·九章·涉江》云霏霏而承宇","4","5","5","5","4","4","27","宀意象有安身寓意","无明显短板"
"鹤鸣","男","hè míng","《诗经·小雅·鹤鸣》鹤鸣于九皋","4","5","3","5","4","4","25","无冲突","鹤笔画稍多"
"观复","男","guān fù","《道德经》万物并作，吾以观复","4","5","5","5","4","4","27","无冲突","观为多音字，需统一读音"
"含章","男/女","hán zhāng","《周易·坤卦》含章可贞","4","5","5","5","4","4","27","无冲突","无明显短板"
"知衡","男","zhī héng","知+衡：求知与平衡","4","4","5","3","5","4","25","无冲突","无单一经典出处"
"婉清","女","wǎn qīng","《诗经·郑风·野有蔓草》清扬婉兮","5","5","5","5","2","4","26","无冲突","近年重名偏多"
"望舒","女","wàng shū","《楚辞·离骚》前望舒使先驱兮","5","5","5","5","4","4","28","无冲突","无明显短板"
"云岫","女","yún xiù","陶渊明《归去来兮辞》云无心以出岫","5","5","3","5","5","4","27","无冲突","岫需教写"
"其华","女","qí huá","《诗经·周南·桃夭》灼灼其华","4","5","5","5","3","4","26","无冲突","近年开始变多"
"令仪","女","lìng yí","《诗经·小雅·湛露》莫不令仪","5","5","5","5","4","4","28","无冲突","无明显短板"
"静姝","女","jìng shū","《诗经·邶风·静女》静女其姝","4","5","5","5","2","4","25","无冲突","近年重名偏多"
"未晞","女","wèi xī","《诗经·秦风·蒹葭》白露未晞","5","5","3","5","5","4","27","无冲突","晞需教写"
"清许","女","qīng xǔ","朱熹《观书有感》问渠那得清如许","5","5","5","5","4","3","27","无冲突","姓氏为许时需避"
"嘉禾","女","jiā hé","嘉禾：吉祥之禾","4","5","5","4","4","4","26","禾字贴合马年民俗","与嘉兴旧称同名，无碍"
"青禾","女","qīng hé","青翠禾苗","5","4","5","3","4","4","25","禾字贴合马年民俗","无经典出处"
"予安","女","yǔ ān","给予平安","5","5","5","3","4","5","27","无冲突","含义直白，少典故"
"知夏","女","zhī xià","知+夏：记住这个夏天","5","4","5","3","4","4","25","无冲突","无经典出处"
"知微","中性","zhī wēi","《周易·系辞》知微知彰","4","5","5","5","4","4","27","无冲突","无明显短板"
"初霁","中性","chū jì","雨雪初停，天光澄明","5","5","3","4","5","4","26","无冲突","霁需教写"
"一苇","中性","yī wéi","《诗经·卫风·河广》一苇杭之","5","4","5","5","4","4","27","无冲突","意象轻盈，喜稳重风格可避开"
"时雨","中性","shí yǔ","及时之雨","5","4","5","4","4","4","26","无冲突","含义偏自然"
"南乔","中性","nán qiáo","《诗经·周南·汉广》南有乔木","5","4","5","5","3","4","26","无冲突","近年偏多"
"既白","中性","jì bái","苏轼《赤壁赋》不知东方之既白","4","4","5","5","4","4","26","无冲突","无明显短板"
"珩","男","héng","珩：佩玉上端的横玉","4","5","4","4","5","4","26","无冲突","珩需教写"
"晟","男","shèng","晟：光明、旺盛","4","5","4","4","4","4","25","无冲突","字形端正"
"岳","男","yuè","岳：高山、五岳","4","5","5","4","3","4","25","无冲突","单字名偏大气"
"朗","男","lǎng","朗：晴朗、开朗","5","5","5","3","4","4","26","无冲突","含义直白"
"卓","男","zhuó","卓：卓越、卓然","4","5","4","3","4","4","24","无冲突","与平声姓氏连读更好"
"柏","男","bǎi","柏：松柏长青","4","5","5","4","3","4","25","木字旁贴合马年民俗","坚强有生命力"
"玥","女","yuè","玥：传说中的神珠","4","5","5","3","2","4","23","无冲突","近年重名偏多"
"晴","女","qíng","晴：晴朗、明朗","5","5","5","3","3","4","25","无冲突","含义直白"
"岚","女","lán","岚：山间雾气","5","5","4","4","4","4","26","无冲突","注意方言读音"
"桐","女","tóng","桐：梧桐","4","5","5","4","3","4","25","木字旁贴合马年民俗","凤栖梧桐意象"
"芷","女","zhǐ","芷：白芷香草","4","5","4","4","3","4","24","艹字头贴合马年民俗","清香洁净"
"芃","女","péng","芃：草木茂盛","4","5","3","4","5","4","25","艹字头贴合马年民俗","芃需教写"
"禾","中性","hé","禾：禾苗、谷物","5","4","5","3","3","5","25","禾字贴合马年民俗","单字简洁"
"澄","中性","chéng","澄：清澈、澄明","5","5","4","3","4","4","25","无冲突","姓氏为程时注意同音"
"知秋","中性","zhī qiū","一叶知秋","5","4","5","4","3","4","25","无冲突","生于立秋前后，节气纪念"
"清秋","女","qīng qiū","辛弃疾词·楚天千里清秋","5","4","5","5","3","4","26","无冲突","两个阴平连读略平"
"秋实","男","qiū shí","春华秋实","4","5","5","4","4","4","26","无冲突","脚踏实地、有所收获"
"秋禾","女","qiū hé","秋天的禾苗","5","4","5","3","5","4","26","禾字贴合马年民俗","秋意与丰收"
"清禾","女","qīng hé","《楚辞》沧浪之水清兮+《诗经》十月纳禾稼","5","5","5","4","4","4","27","禾字贴合马年民俗","本命推荐；清水润禾"
"沁澜","女","qìn lán","沁润+《孟子》观水必观其澜","5","5","4","5","4","4","27","水象调候","水象调候；澜字稍繁"
"清和","女","qīng hé","谢灵运·首夏犹清和，芳草亦未歇","5","5","5","5","4","4","28","和字含禾，马年民俗可参考","本命推荐；与清禾同音，取意不同"
"清澜","女","qīng lán","《楚辞》沧浪之水清兮+《孟子》观水必观其澜","5","5","5","5","4","4","28","水象调候","本命推荐；口音与清兰相同"
